gene,log2FC,p_value,neg_log10_p,direction
GENE1117,5.5536,4.914000000000009e-26,25.308564847855937,up
GENE1176,-4.5902,3.313999999999988e-26,25.479647495916684,down
GENE1100,-3.9807,8.437999999999984e-28,27.07376047895414,down
GENE1189,4.4787,1.1899999999999958e-23,22.92445303860747,up
GENE1120,-4.4697,5.291000000000006e-23,22.276462238467943,down
GENE1159,3.9022,5.458999999999999e-25,24.26288690569404,up
GENE1057,3.9823,6.4360000000000244e-24,23.191383964573006,up
GENE1198,-3.6406,4.123999999999994e-24,23.38468134338852,down
GENE1149,3.4802,6.000999999999988e-25,24.221776373233904,up
GENE1075,2.7896,8.213000000000021e-28,27.085498177172685,up
GENE1193,2.7555,6.6110000000000265e-28,27.179732842839034,up
GENE1052,-2.5663,6.6110000000000265e-28,27.179732842839034,down
GENE1111,4.5058,7.711999999999989e-16,15.112832979105226,up
GENE1144,-2.6933,7.697999999999993e-26,25.11362209324143,down
GENE1121,2.776,8.603999999999998e-25,24.065299598284575,up
